Dose,Response,Err-Values
3.43E-09,-0.250484098,0.1466896
6.85E-09,-0.004931258,0.041915
1.37E-08,0.025899986,0.02106
2.74E-08,0.024221738,0.0516617
5.49E-08,0.073597858,0.0171957
0.00000011,0.114782732,0.0814711
0.000000221,0.063425146,0.1203012
0.000000446,0.228380003,0.1467753
0.000000909,0.097725374,0.0587425
0.000001888,0.160348019,0.0277077
0.000004085,0.33419116,0.2056149
0.000009739,0.710051289,0.0748819
0.000030419,0.977718798,0.1541855
0.000182139,0.782836128,0.2312712
0.000764903,0.980190294,0.0844962
0.002,1.083492873,0.0627442
