Dose,Response,Err-Values
2.62E-09,-0.092410112,0.1337771
5.25E-09,-0.055965239,0.0630651
1.05E-08,-0.066000087,0.0466959
0.000000021,0.001239326,0.0417892
4.21E-08,0.037524926,0.0269097
8.43E-08,0.065451735,0.1075316
1.69E-07,0.097944951,0.0469653
3.42E-07,0.038461722,0.153959
6.97E-07,0.186432344,0.1372093
0.000001448,0.209656839,0.0263894
0.00000314,0.426333748,0.0813671
0.000007535,0.50606716,0.0979885
0.000024234,0.743175473,0.1763132
0.000171913,0.81957407,0.0945723
0.000761421,1.184779588,0.0982269
