Dose,Response,Err-Values
3.43E-09,-0.057924142,0.0715871
6.85E-09,-0.08773606,0.106818
1.37E-08,-0.099229498,0.0488353
2.74E-08,0.030333577,0.0854298
5.49E-08,0.095347542,0.1150427
0.00000011,0.038815153,0.1118963
0.000000221,0.105225851,0.1601605
0.000000446,0.161889496,0.0673267
0.000000909,0.11594274,0.1595417
0.000001888,0.204624821,0.0229456
0.000004085,0.38606541,0.0682623
0.000009739,0.614732499,0.1670112
0.000030419,0.837912736,0.1913702
0.000182139,0.97140172,0.0689746
0.000764903,0.890781912,0.0693496
0.002,1.092548938,0.2928419
