Dose,Response,Err-Values
5.00E-12,-0.103309494,0.0294348
1.00E-11,-0.088676677,0.0592574
2.20E-11,-0.047770686,0.0407081
4.40E-11,-0.044458762,0.0456104
8.80E-11,-0.021341167,0.0303858
1.80E-10,0.063829153,0.0173953
3.71E-10,0.122767063,0.0178127
7.92E-10,0.230143009,0.0440162
1.80E-09,0.31500595,0.0267973
5.40E-09,0.487169401,0.029897
1.66E-07,0.943777749,0.0322271
0.00000392,0.925849983,0.2171647
0.000014427,0.98728078,0.0454627
0.00002567,0.961458359,0.0439218
0.000037576,1.039848063,0.0578319
0.000050043,1.122476913,0.0246519
