Dose,Response,Err-Values
2.62E-09,-0.047232401,0.0599862
5.25E-09,-0.075986125,0.0754549
1.05E-08,0.029458659,0.0338024
0.000000021,0.02305578,0.0601347
4.21E-08,0.049776408,0.1025759
8.43E-08,0.191784147,0.0630943
1.69E-07,0.227835904,0.0048141
3.42E-07,0.447667261,0.0487371
6.97E-07,0.466118545,0.0369772
0.000001448,0.6633509,0.115939
0.00000314,0.72622291,0.024275
0.000007535,0.796186266,0.0525304
0.000024234,0.994308183,0.0447388
0.000171913,0.970374633,0.0541477
0.000761421,0.974643256,0.0785827
0.002,1.204672868,0.0265721
